Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Air Wings: Intergalactic,2013,Action,Flight / aviation,iPhone,,2 players,"Pangea Software, Inc.","Pangea Software, Inc.",0.0,1.0,
Air Wings,2012,Action,Flight / aviation,iPhone,,2 players,"Pangea Software, Inc.","Pangea Software, Inc.",0.0,1.0,
First Grade Learning Games,2012,Educational,Math / logic,iPhone,,,,,0.0,1.0,
Preschool and Kindergarten Learning Games,2012,Educational,Pre-school / toddler,iPhone,,,,,0.0,1.0,
Magic Piano,2011,Action,3rd-person (Other),iPhone,,1 players,"Smule, Inc.","Smule, Inc.",0.0,1.0,Music / rhythm
Nitro Racer XD,2013,Racing / Driving,1st-person,Windows,,1 players,Imagination XD,Imagination XD,0.0,1.0,
Last Knight HD,2012,Action,Behind view,iPhone,,,Crescent Moon Games LLC,Crescent Moon Games LLC,0.0,1.0,Arcade
Star Wars: Force Arena,2016,Strategy,Diagonal-down,Android,,,Netmarble Games,Netmarble Games,0.0,1.0,Fixed / flip-screen
Star Wars Journeys: The Phantom Menace,2014,Action,3rd-person (Other),iPhone,,,Disney Mobile,Disney Mobile,0.0,1.0,Sci-fi / futuristic
BVS Video Poker,2002,Educational,Cards / tiles,Windows,,3 players,BVS Development,BVS Development,0.0,1.0,Math / logic
PacDoom III: Halloween Party,2003,Action,Top-down,Windows,,(2),Absolutist Ltd.,Absolutist Ltd.,0.0,1.0,Arcade
Chalkboard Pinball,2015,Action,Pinball,iPhone,,1 players,"Pangea Software, Inc.","Pangea Software, Inc.",0.0,1.0,
Euro 2016 Manager,2016,Sports,Fixed / flip-screen,Android,,,Animation Arts Creative GmbH,Animation Arts Creative GmbH,0.0,1.0,Managerial / business simulation
Super Arc Light,2016,Action,Top-down,iPhone,,,All 4 games,All 4 games,0.0,1.0,Arcade
Magnetic Billiards: Blueprint,2011,Simulation,3rd-person (Other),iPhone,,70% (1),Zee 3 Limited,Zee 3 Limited,0.0,1.0,Arcade
LEGO Nexo Knights: Merlok 2.0,2015,Action,3rd-person (Other),iPhone,,,LEGO System A/S,LEGO System A/S,0.0,1.0,"Arcade, Puzzle elements"
San Diego Scenery Add-on Pack for Microsoft Flight...,1997,DLC / Add-on,Map / level,Windows,,2 players,Safari Fliteware,Safari Fliteware,0.0,1.0,
Sunset Overdrive: Acordes de la Muerte Melee Weapo...,2014,DLC / Add-on,Item,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: AK-FOFF Weapon,2014,DLC / Add-on,Item,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Fizzco Bot Outfit,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Foul Baller Outfit,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Granny's Revenge Outfit,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Grey Splatter Helmet,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Hardcore! Hammer Melee Weapon,2014,DLC / Add-on,Item,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Head-Banger Gun,2014,DLC / Add-on,Item,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Hotty Shotty Weapon,2014,DLC / Add-on,Item,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: It's Me! Fizzie! Outfit,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Nothin' but the Hits Weapon,2014,DLC / Add-on,Item,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: OD Wannabe Outfit,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Pretty Fly Fly Helmet,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: Rock n' Hop Headphones,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: String Theory Helmet,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: The Hangover Melee Weapon,2014,DLC / Add-on,Item,Xbox One,,,,,0.0,1.0,
Sunset Overdrive: UnCivil War Helmet,2014,DLC / Add-on,Customization / outfit / skin,Xbox One,,,,,0.0,1.0,
